dayID,startTime,endTime,teacherRegID,subjectId,isBreak,attFlag
1,8:00,9:00,102,11,,TRUE
1,9:00,10:00,102,11,,
1,10:00,11:00,102,11,,
1,11:00,12:00,101,10,,
1,12:00,13:00,,,TRUE,
1,13:00,14:00,105,14,,TRUE
1,14:00,15:00,101,10,,
1,15:00,16:00,104,13,,
1,16:00,17:00,106,15,,
2,8:00,9:00,110,19,,TRUE
2,9:00,10:00,108,17,,
2,10:00,11:00,104,13,,
2,11:00,12:00,103,12,,
2,12:00,13:00,,,TRUE,
2,13:00,14:00,108,17,,TRUE
2,14:00,15:00,103,12,,
2,15:00,16:00,105,14,,
2,16:00,17:00,102,11,,
3,8:00,9:00,109,18,,TRUE
3,9:00,10:00,110,19,,
3,10:00,11:00,101,10,,
3,11:00,12:00,108,17,,
3,12:00,13:00,,,TRUE,
3,13:00,14:00,102,11,,TRUE
3,14:00,15:00,102,11,,
3,15:00,16:00,109,18,,
3,16:00,17:00,101,10,,
4,8:00,9:00,104,13,,TRUE
4,9:00,10:00,105,14,,
4,10:00,11:00,106,15,,
4,11:00,12:00,109,18,,
4,12:00,13:00,,,TRUE,
4,13:00,14:00,109,18,,TRUE
4,14:00,15:00,102,11,,
4,15:00,16:00,104,13,,
4,16:00,17:00,102,11,,
5,8:00,9:00,109,18,,TRUE
5,9:00,10:00,108,17,,
5,10:00,11:00,103,12,,
5,11:00,12:00,102,11,,
5,12:00,13:00,,,TRUE,
5,13:00,14:00,104,13,,TRUE
5,14:00,15:00,102,11,,
5,15:00,16:00,108,17,,
5,16:00,17:00,102,11,,
6,8:00,9:00,108,17,,TRUE
6,9:00,10:00,102,11,,
6,10:00,11:00,108,17,,
6,11:00,12:00,103,12,,
6,12:00,13:00,,,TRUE,
6,13:00,14:00,110,19,,TRUE
